total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-9.59,38.957,1.395,326.0,16.505,bb_neutral^10.0^2.5|kc_neutral^8.0^8.0^1.7&price_crossover_ema^12|rsi_fast_crossover_slow^60^156|kc_price_crossover_low^20.0^20.0^2.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-9.564,39.877,1.345,326.0,16.678,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&price_crossover_ema^12|bb_price_crossover_high_2^160.0^1.9|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-9.538,39.45,1.369,327.0,16.229,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&price_crossover_ema^12|bb_price_crossover_high^230.0^2.0999999999999996|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-9.508,40.557,1.309,323.0,17.284,bb_neutral^10.0^2.5|kc_neutral^8.0^8.0^1.7&price_crossover_ema^12|second_wave_trend_1^18|kc_price_crossover_low^20.0^20.0^2.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-9.422,39.692,1.357,325.0,16.062,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&price_crossover_ema^12|bb_price_crossover_high_2^230.0^2.0999999999999996|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-9.305,40.867,1.295,323.0,16.587,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&price_crossover_ema^12|emacd_start_increase^220^616|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-9.117,40.741,1.307,324.0,17.544,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&price_crossover_ema^12|second_wave_trend_1^18|kc_price_crossover_low^20.0^20.0^2.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-8.898,39.571,1.373,326.0,16.341,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&price_crossover_ema^12|rsi_fast_crossover_slow^60^156|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-8.777,39.385,1.384,325.0,16.422,bb_neutral^10.0^2.5|bb_neutral^12.0^2.0999999999999996&price_crossover_ema^12|rsi_fast_crossover_slow^60^156|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-8.374,36.888,1.551,347.0,15.591,bb_neutral^10.0^2.5|kc_neutral^8.0^8.0^1.7&price_crossover_ema^12|second_wave_trend_1^18|kc_price_crossover_low^14.0^17.0^2.5&roc_crossunder0^59|trailing_stop^34^1.5
-8.29,36.842,1.554,342.0,15.395,bb_neutral^10.0^2.5|bb_neutral^12.0^2.0999999999999996&price_crossover_ema^12|second_wave_trend_1^18|kc_price_crossover_low^14.0^17.0^2.5&roc_crossunder0^59|trailing_stop^34^1.5
-8.171,36.963,1.551,349.0,16.477,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&price_crossover_ema^12|second_wave_trend_1^18|kc_price_crossover_low^14.0^17.0^2.5&roc_crossunder0^59|trailing_stop^34^1.5
-8.153,36.599,1.574,347.0,14.92,bb_neutral^10.0^2.5|kc_neutral^8.0^8.0^1.7&price_crossover_ema^12|second_wave_trend_1^18|kc_price_crossover_low^20.0^20.0^2.8999999999999995&roc_crossunder0^59|trailing_stop^34^1.5
-7.95,36.676,1.574,349.0,15.82,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&price_crossover_ema^12|second_wave_trend_1^18|kc_price_crossover_low^20.0^20.0^2.8999999999999995&roc_crossunder0^59|trailing_stop^34^1.5
-7.407,39.752,1.384,322.0,14.626,bb_neutral^10.0^2.5|kc_neutral^8.0^8.0^1.7&price_crossover_ema^12|emacd_start_increase^200^320|kc_price_crossover_low^20.0^20.0^2.8999999999999995&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-7.375,33.918,1.78,342.0,12.773,rsi_neutral^90^65^35|adx_higher_threshold^80.0^5.0&price_crossover_ema^12|rvi_crossover_signal^100^80|kc_price_crossover_low^20.0^20.0^2.8999999999999995&roc_crossunder0^59|trailing_stop^34^1.5
-7.063,37.898,1.509,314.0,11.985,bb_neutral^10.0^2.5|kc_neutral^8.0^8.0^1.7&price_crossover_ema^12|emacd_histogram_start_increase_2^140^252^84|kc_price_crossover_low^20.0^20.0^2.8999999999999995&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
-6.707,34.302,1.765,344.0,14.597,bb_neutral^10.0^2.5|kc_neutral^8.0^8.0^1.7&price_crossover_ema^12|emacd_histogram_start_increase_2^140^252^84|kc_price_crossover_low^20.0^20.0^2.8999999999999995&roc_crossunder0^59|trailing_stop^34^1.5
