开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-01 23:00:00,2026-06-18,19.167,60.078,4.137,4.282,2.973,14.521,14.031,0.734,0.154,129.0,51.163,1.785,50.501,12.9,trix_higher0^6|stoch_d_overbought^17^14^5^50&adx_plus_crossover_minus^90|price_crossover_ema^20|rsi_crossover50^250&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,19.175,60.105,3.399,4.286,2.926,17.681,14.025,0.734,0.161,124.0,51.613,1.752,49.194,12.4,emacd_higher_signal^35^56^24|trix_higher0^6&adx_plus_crossover_minus^90|price_crossover_ema^20|smacd_start_increase^140^364&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,19.238,60.332,3.436,4.439,2.894,17.56,13.592,0.711,0.162,109.0,54.128,1.711,48.921,10.9,emacd_higher_signal^35^56^24|trix_higher0^6&price_crossover_ema^20|ma_atr_long_signal^12.0^14.0^2.1999999999999997|smacd_start_increase^140^364&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,19.49,61.244,3.44,4.626,2.942,17.806,13.238,0.693,0.164,102.0,56.863,1.626,49.315,10.2,trix_higher0^6|tsi_higher_signal^55^39^33^EMA&price_crossover_ema^20|ma_atr_long_signal^18.0^22.0^2.8|smacd_start_increase^140^364&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,19.507,61.304,3.308,4.17,2.794,18.534,14.702,0.77,0.15,128.0,51.562,1.726,49.921,12.8,tsi_overbought^16^5^0.0^SMA|skew_positive^12^EMA&adx_plus_crossover_minus^90|price_crossover_ema^20|smacd_start_increase^140^364&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,19.71,62.04,3.029,5.072,3.207,20.481,12.231,0.64,0.162,118.0,53.39,1.71,50.519,11.8,tsi_overbought^16^5^0.0^SMA|rvi_overbought^70^0.0^SMA&adx_plus_crossover_minus^90|price_crossover_ema^20|emacd_crossover_signal_3^230^644^299&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,19.832,62.483,3.432,4.701,2.999,18.207,13.29,0.696,0.162,104.0,56.731,1.642,49.274,10.4,trix_higher0^6|tsi_higher_signal^55^39^33^EMA&price_crossover_ema^20|ma_atr_long_signal^12.0^14.0^2.1999999999999997|smacd_start_increase^140^364&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,20.111,63.501,3.598,4.633,3.127,17.651,13.706,0.717,0.15,129.0,53.488,1.692,50.63,12.9,trix_higher0^6|stoch_d_overbought^17^14^5^50&adx_plus_crossover_minus^90|price_crossover_ema^20|mass_crossunder1^140^70&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,20.128,63.565,4.225,4.735,2.993,15.044,13.425,0.703,0.158,103.0,55.34,1.732,50.984,10.3,trix_higher0^6|stoch_k_overbought^20^16^50&price_crossover_ema^20|ma_atr_long_signal^12.0^14.0^2.1999999999999997|tsi_crossover0^230^207^EMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,20.205,63.843,3.177,5.198,3.641,20.094,12.282,0.643,0.309,75.0,60.0,1.597,50.099,7.5,trix_increase^80|convexity_higher1^16^EMA&kc_price_crossover_high^110.0^44.0^2.8999999999999995|smacd_start_increase^140^364|ema_fast_crossover_slow^140^280&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,20.321,64.27,3.904,4.609,3.131,16.463,13.945,0.73,0.15,124.0,52.419,1.794,50.574,12.4,trix_higher0^6|stoch_d_overbought^17^14^5^50&adx_plus_crossover_minus^90|price_crossover_ema^20|smacd_crossover_signal_2^230^414^299&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,20.539,65.071,1.915,5.01,2.612,33.979,12.988,0.68,0.361,34.0,58.824,3.036,52.304,3.4,skew_negative^20^EMA|convexity_higher1^16^EMA&kc_price_crossover_high^110.0^44.0^2.8999999999999995|ema_fast_crossover_slow^140^280|adx_crossover_threshold^45.0^35.0&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,20.569,65.178,2.715,5.143,3.379,24.009,12.673,0.663,0.159,135.0,53.333,1.683,50.927,13.5,tsi_overbought^16^5^0.0^SMA|rvi_overbought^70^0.0^SMA&adx_plus_crossover_minus^90|price_crossover_ema^20|emacd_histogram_start_increase_2^180^432^126&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
2026-02-01 23:00:00,2026-06-18,20.624,65.381,3.276,4.454,2.635,19.957,14.679,0.768,0.41,41.0,63.415,1.799,52.0,4.1,atr_fast_higher_slow^110^286|skew_negative^20^EMA&rsi_fast_crossover_slow^25^60|emacd_crossover_signal_2^30^42^24|adx_crossover_threshold^45.0^35.0&bb_price_crossunder_high^34^2|trailing_stop^34^3.0
2026-02-01 23:00:00,2026-06-18,20.652,65.483,4.067,3.787,3.226,16.099,17.291,0.905,0.921,55.0,54.545,1.807,50.769,5.5,tsi_higher_signal^55^39^33^EMA|skew_negative^20^EMA&trix_start_increase^230|roc_crossover0^30|stoch_k_crossover_d^70^63^49&aroon_diff_crossunder0^89|trailing_stop^34^3.5
2026-02-01 23:00:00,2026-06-18,20.812,66.073,3.541,4.719,3.234,18.658,14.002,0.733,0.15,128.0,53.125,1.75,50.834,12.8,trix_higher0^6|stoch_d_overbought^17^14^5^50&adx_plus_crossover_minus^90|price_crossover_ema^20|smi_k_crossover0^190^114^EMA&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
