param_0,策略名称,开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,2026-03-01+总收益率%,2026-03-01+年化收益率%,2026-03-01+最大回撤%,2026-03-01+sharpe比率,2026-03-01+sortino比率,2026-03-01+calmar比率,2026-03-01+年化波动率%,2026-03-01+日波动率%,2026-03-01+均持天数,2026-03-01+交易次数,2026-03-01+交易胜率%,2026-03-01+盈亏比,2026-03-01+bar胜率%,2026-03-01+总交易成本%,2026-04-01+总收益率%,2026-04-01+年化收益率%,2026-04-01+最大回撤%,2026-04-01+sharpe比率,2026-04-01+sortino比率,2026-04-01+calmar比率,2026-04-01+年化波动率%,2026-04-01+日波动率%,2026-04-01+均持天数,2026-04-01+交易次数,2026-04-01+交易胜率%,2026-04-01+盈亏比,2026-04-01+bar胜率%,2026-04-01+总交易成本%,2026-05-01+总收益率%,2026-05-01+年化收益率%,2026-05-01+最大回撤%,2026-05-01+sharpe比率,2026-05-01+sortino比率,2026-05-01+calmar比率,2026-05-01+年化波动率%,2026-05-01+日波动率%,2026-05-01+均持天数,2026-05-01+交易次数,2026-05-01+交易胜率%,2026-05-01+盈亏比,2026-05-01+bar胜率%,2026-05-01+总交易成本%,2026-06-01+总收益率%,2026-06-01+年化收益率%,2026-06-01+最大回撤%,2026-06-01+sharpe比率,2026-06-01+sortino比率,2026-06-01+calmar比率,2026-06-01+年化波动率%,2026-06-01+日波动率%,2026-06-01+均持天数,2026-06-01+交易次数,2026-06-01+交易胜率%,2026-06-01+盈亏比,2026-06-01+bar胜率%,2026-06-01+总交易成本%,filter_name,filter_params,param_1,param_2,param_3,param_4,param_5
240.0,rvi_overbought^240^0.0^EMA,2026-03-02 01:00:00,2026-06-17 18:15:00,6.565,24.041,8.849,1.072,1.236,2.717,22.425,1.174,0.848,127.0,19.685,5.281,39.715,0.0,-3.186,-46.988,8.849,-1.897,-1.883,-5.31,24.772,1.297,0.743,40.0,22.5,2.419,40.461,0.0,5.102,84.103,2.3,4.393,6.575,36.574,19.144,1.002,1.489,20.0,30.0,7.331,38.095,0.0,-1.461,-20.213,8.0,-0.891,-1.038,-2.527,22.674,1.187,0.553,52.0,15.385,4.766,40.141,0.0,6.034,258.214,4.424,10.44,13.662,58.372,24.732,1.295,0.932,18.0,22.222,13.165,40.303,0.0,rvi_overbought,[240 0.0 'EMA'],0.0,EMA,,,
220.0,rvi_overbought^220^0.0^EMA,2026-03-02 01:00:00,2026-06-17 18:15:00,9.459,35.833,8.675,1.598,1.843,4.131,22.423,1.174,0.876,123.0,25.203,4.265,39.844,0.0,-0.213,-2.642,6.195,-0.107,-0.106,-0.427,24.753,1.296,0.929,32.0,28.125,2.552,40.973,0.0,4.657,74.757,2.353,3.906,5.844,31.769,19.137,1.002,1.145,26.0,34.615,4.786,38.162,0.0,-1.62,-22.618,8.675,-0.998,-1.162,-2.607,22.672,1.187,0.496,58.0,18.966,3.667,39.93,0.0,6.29,277.508,4.308,11.203,14.616,64.41,24.771,1.297,1.678,10.0,40.0,6.843,40.412,0.0,rvi_overbought,[220 0.0 'EMA'],0.0,EMA,,,
70.0,rvi_signal_overbought^70^56^0.0^SMA,2026-03-02 01:00:00,2026-06-17 18:15:00,8.538,31.999,14.486,1.428,1.639,2.209,22.415,1.173,2.394,45.0,46.667,1.546,40.122,0.0,-3.806,-58.208,10.99,-2.35,-2.436,-5.296,24.769,1.296,2.124,14.0,35.714,1.022,40.013,0.0,-0.018,-0.216,8.855,-0.011,-0.014,-0.024,19.132,1.001,1.985,15.0,40.0,1.534,38.766,0.0,2.811,42.168,6.956,1.861,2.191,6.062,22.655,1.186,2.214,13.0,53.846,1.25,40.775,0.0,9.05,559.802,2.359,22.656,30.727,237.33,24.709,1.293,2.796,6.0,83.333,3.391,41.387,0.0,rvi_signal_overbought,[70 56 0.0 'SMA'],56,0.0,SMA,,
150.0,rvi_signal_overbought^150^135^0.0^EMA,2026-03-02 01:00:00,2026-06-17 18:15:00,14.204,56.837,7.98,2.535,2.977,7.122,22.42,1.174,7.183,15.0,46.667,3.026,40.085,0.0,-3.278,-48.604,7.98,-1.963,-1.998,-6.09,24.759,1.296,3.717,8.0,25.0,1.407,40.845,0.0,8.054,158.592,2.598,8.286,12.458,61.049,19.141,1.002,14.89,2.0,100.0,100.0,38.833,0.0,1.669,23.379,6.983,1.031,1.214,3.348,22.668,1.187,4.797,6.0,66.667,0.918,40.141,0.0,7.229,357.236,3.216,14.447,19.426,111.085,24.727,1.294,8.389,2.0,100.0,100.0,40.628,0.0,rvi_signal_overbought,[150 135 0.0 'EMA'],135,0.0,EMA,,
14.0,bb_neutral^14.0^1.5,2026-03-02 01:00:00,2026-06-17 18:15:00,3.995,14.196,19.689,0.638,0.782,0.721,22.265,1.165,0.08,1346.0,47.177,1.156,40.345,0.0,2.969,43.233,6.888,1.772,2.227,6.276,24.401,1.277,0.073,409.0,47.922,1.166,41.485,0.0,17.228,602.472,2.386,31.872,44.356,252.47,18.903,0.989,0.076,391.0,50.895,1.573,40.644,0.0,-4.145,-67.434,9.607,-2.981,-3.54,-7.019,22.625,1.184,0.086,333.0,45.646,1.08,39.789,0.0,-9.531,-626.135,13.272,-25.294,-29.943,-47.177,24.755,1.296,0.078,216.0,42.13,0.926,38.895,0.0,bb_neutral,[14.   1.5],1.5,,,,
10.0,bb_neutral^10.0^1.5,2026-03-02 01:00:00,2026-06-17 18:15:00,16.348,67.043,16.681,3.01,3.753,4.019,22.276,1.166,0.068,1592.0,47.676,1.213,40.159,0.0,14.607,433.612,5.387,17.728,23.39,80.489,24.459,1.28,0.062,483.0,50.311,1.311,41.677,0.0,17.159,597.416,2.572,31.533,41.304,232.26,18.945,0.992,0.066,453.0,51.656,1.475,40.711,0.0,-6.429,-120.493,8.151,-5.353,-6.441,-14.782,22.511,1.178,0.072,399.0,43.358,1.134,38.732,0.0,-6.789,-318.047,10.244,-12.813,-15.595,-31.047,24.823,1.299,0.065,260.0,43.077,1.031,39.003,0.0,bb_neutral,[10.   1.5],1.5,,,,
55.0,kc_neutral^55.0^66.0^2.6999999999999997,2026-03-02 01:00:00,2026-06-17 18:15:00,12.806,50.427,14.297,2.251,2.685,3.527,22.403,1.173,0.216,499.0,49.699,1.179,39.789,0.0,0.759,9.726,8.423,0.393,0.418,1.155,24.761,1.296,0.212,140.0,47.143,1.162,38.924,0.0,12.684,332.579,2.678,17.434,27.933,124.208,19.076,0.999,0.192,155.0,63.871,1.11,40.376,0.0,3.431,53.431,6.409,2.357,2.73,8.337,22.674,1.187,0.218,132.0,46.212,1.363,41.338,0.0,-3.743,-122.62,9.339,-4.965,-6.689,-13.13,24.697,1.293,0.224,75.0,30.667,1.766,37.811,0.0,kc_neutral,[55.  66.   2.7],66.0,2.6999999999999997,,,
130.0,kc_neutral^130.0^130.0^1.7,2026-03-02 01:00:00,2026-06-17 18:15:00,21.163,91.646,7.497,4.091,5.304,12.224,22.403,1.173,0.263,409.0,54.523,1.136,38.881,0.0,1.223,16.1,7.497,0.651,0.912,2.147,24.747,1.295,0.292,102.0,54.902,0.894,37.388,0.0,5.95,103.156,3.304,5.391,7.876,31.218,19.134,1.002,0.264,113.0,60.177,1.007,37.492,0.0,3.925,63.011,7.479,2.783,3.135,8.425,22.638,1.185,0.212,136.0,48.529,1.285,40.493,0.0,8.934,544.681,4.456,22.037,29.541,122.237,24.716,1.294,0.275,61.0,59.016,1.52,41.062,0.0,kc_neutral,[130.  130.    1.7],130.0,1.7,,,
100.0,tsi_neutral^100^40^5.0^-5.0^EMA,2026-03-02 01:00:00,2026-06-17 18:15:00,11.406,44.196,11.764,1.972,2.527,3.757,22.416,1.173,1.211,89.0,55.056,1.088,38.955,0.0,-2.578,-36.707,9.154,-1.482,-1.965,-4.01,24.764,1.296,1.19,25.0,44.0,1.078,37.196,0.0,-2.24,-31.222,4.759,-1.631,-2.354,-6.561,19.147,1.002,1.103,27.0,44.444,1.002,37.156,0.0,4.948,84.589,3.715,3.73,4.248,22.769,22.678,1.187,1.371,21.0,61.905,1.034,40.634,0.0,10.733,820.89,4.248,33.3,44.738,193.243,24.651,1.29,0.883,19.0,73.684,1.417,42.145,0.0,tsi_neutral,[100 40 5.0 -5.0 'EMA'],40,5.0,-5.0,EMA,
12.0,tsi_neutral^12^10^25.0^-25.0^SMA,2026-03-02 01:00:00,2026-06-17 18:15:00,38.154,198.958,6.866,8.902,12.534,28.977,22.349,1.17,0.284,380.0,51.842,1.437,39.085,0.0,14.623,434.51,2.873,17.597,26.563,151.234,24.692,1.292,0.263,113.0,51.327,1.686,39.117,0.0,7.389,139.734,3.159,7.303,12.158,44.236,19.133,1.001,0.281,106.0,53.774,1.331,37.223,0.0,9.564,218.716,3.128,9.737,11.885,69.921,22.463,1.176,0.264,109.0,53.211,1.37,40.704,0.0,1.985,53.442,6.866,2.159,3.063,7.784,24.757,1.296,0.311,54.0,44.444,1.45,39.437,0.0,tsi_neutral,[12 10 25.0 -25.0 'SMA'],10,25.0,-25.0,SMA,
40.0,rsi_neutral^40^55^45,2026-03-02 01:00:00,2026-06-17 18:15:00,4.826,17.317,12.937,0.773,0.98,1.339,22.394,1.172,0.184,585.0,48.547,1.135,38.881,0.0,-9.223,-195.517,11.957,-7.882,-10.495,-16.352,24.806,1.298,0.209,142.0,38.732,1.061,35.98,0.0,6.655,120.395,3.841,6.351,9.476,31.343,18.958,0.992,0.159,187.0,56.684,1.064,38.431,0.0,4.633,77.667,6.333,3.443,3.754,12.263,22.558,1.181,0.197,146.0,53.425,1.084,42.042,0.0,3.69,120.149,4.571,4.825,6.562,26.284,24.899,1.303,0.148,113.0,41.593,1.797,39.545,0.0,rsi_neutral,[40 55 45],55,45,,,
