param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
20.0,supertrend_long_signal,[20.   1.9],supertrend_long_signal^20.0^1.9,4,4,140,0.026,0.258952577728355,139,0.193,1.108,54.676,1.32,0.174,368.9075630252101,0.25527037003610115,138,0.199,1.438,52.174,1.336,0.138,31.5,0.2622800625869263,138,0.2,1.642,51.449,1.284,0.122,79.46708463949844,0.2631668696711328,1.9,,
25.0,supertrend_long_signal,[25.   1.9],supertrend_long_signal^25.0^1.9,4,4,138,0.026,0.26564003017123594,137,0.201,1.103,56.204,1.276,0.182,377.3684210526315,0.2660616772438803,136,0.226,1.42,54.412,1.302,0.159,62.178517397882,0.29847597183098595,136,0.164,1.64,50.735,1.248,0.1,113.37209302325581,0.21533200000000002,1.9,,
180.0,adx_plus_crossover_minus,[180],adx_plus_crossover_minus^180,4,3,72,0.013,0.3006429386547036,72,0.141,1.229,61.111,0.861,0.115,318.43575418994413,0.18540295362082992,72,0.275,1.37,56.944,1.291,0.201,3.8869257950530036,0.364676094890511,72,0.37,1.522,66.667,0.892,0.243,83.59030837004404,0.4926931668856767,,,
40.0,rvi_crossover_signal,[40 36],rvi_crossover_signal^40^36,4,4,341,0.063,0.30086006365237977,338,0.196,1.081,59.172,1.126,0.181,190.15748031496062,0.2594198704902868,337,0.232,1.488,53.412,1.327,0.156,70.09345794392523,0.3063023655913979,335,0.3,1.858,51.94,1.42,0.161,5.305821665438468,0.39629709364908505,36,,
45.0,rvi_crossover_signal,[45 32],rvi_crossover_signal^45^32,4,4,343,0.064,0.3050301504663068,340,0.196,1.077,59.412,1.119,0.182,170.93690248565966,0.2594370287836583,339,0.237,1.486,53.687,1.325,0.159,66.74311926605505,0.31301384253028264,337,0.308,1.858,52.522,1.404,0.166,3.260869565217391,0.40703741657696446,32,,
45.0,emacd_start_increase,[45 90],emacd_start_increase^45^90,4,4,243,0.045,0.3122486040341238,241,0.237,1.109,60.996,1.146,0.214,99.11894273127754,0.3146842831379621,238,0.193,1.532,51.681,1.317,0.126,24.774774774774773,0.254060815926893,238,0.298,1.911,55.462,1.235,0.156,5.054759898904803,0.3934410884353742,90,,
50.0,emacd_start_increase,[50 80],emacd_start_increase^50^80,4,4,236,0.044,0.3133560182131267,234,0.243,1.115,61.538,1.131,0.218,92.3076923076923,0.3227846367713005,231,0.197,1.545,50.649,1.378,0.128,18.75,0.2593654822006473,231,0.3,1.936,54.545,1.279,0.155,0.7234726688102894,0.3707702758364114,80,,
220.0,smacd_start_increase,[220 484],smacd_start_increase^220^484,4,3,77,0.014,0.33277640996301117,77,0.311,1.074,64.935,1.149,0.29,816.8539325842697,0.41600738361266304,77,0.195,1.51,57.143,1.04,0.129,0.0,0.1975182119205298,77,0.249,2.074,51.948,1.216,0.12,706.6666666666669,0.32758627290260367,484,,
230.0,trix_start_increase,[230],trix_start_increase^230,4,0,11,0.002,0.3447769172690098,11,0.098,0.629,54.545,1.278,0.156,-1.0,0.06966880763116057,11,0.382,1.411,63.636,1.188,0.271,-1.0,0.27463931963146704,11,1.523,2.266,72.727,7.365,0.672,-1.0,1.1377535878199467,,,
150.0,sma_fast_crossover_slow_3,[150 300],sma_fast_crossover_slow_3^150^300,4,2,37,0.007,0.356342508671148,37,0.403,0.918,62.162,2.016,0.439,-1.0,0.294484128540305,37,0.68,1.387,67.568,1.926,0.49,-1.0,0.49933669790915647,36,0.41,1.239,55.556,1.868,0.331,-1.0,0.2964971751412429,300,,
25.0,rsi_fast_crossover_slow,[25 60],rsi_fast_crossover_slow^25^60,4,4,238,0.044,0.3572697952695179,236,0.272,1.093,60.169,1.335,0.249,138.08219178082192,0.36239956084172004,234,0.254,1.326,55.556,1.316,0.192,96.09079445145018,0.3365250980392157,233,0.284,1.648,58.798,1.099,0.172,57.55813953488372,0.375562427184466,60,,
30.0,rsi_fast_crossover_slow,[30 48],rsi_fast_crossover_slow^30^48,4,4,239,0.044,0.37157712845708485,237,0.28,1.099,60.759,1.325,0.255,136.50793650793648,0.3732738853503185,235,0.256,1.327,56.596,1.265,0.193,83.98533007334964,0.3392202562170309,234,0.314,1.671,58.547,1.156,0.188,55.35553555355535,0.41587054458408146,48,,
80.0,emacd_histogram_start_increase,[ 80 160 112],emacd_histogram_start_increase^80^160^112,4,4,185,0.034,0.37771255602000875,184,0.187,1.119,58.152,1.134,0.167,153.125,0.24716252904378913,182,0.334,1.427,56.044,1.487,0.234,21.704180064308687,0.4443627750525579,182,0.454,1.926,58.242,1.374,0.236,9.555189456342669,0.6041122949117341,160,112,
60.0,sma_fast_crossover_slow_3,[ 60 156],sma_fast_crossover_slow_3^60^156,4,3,63,0.012,0.38767589391467305,63,0.23,1.125,63.492,0.992,0.204,153.80952380952382,0.30511288888888893,63,0.352,1.364,61.905,1.212,0.258,74.67391304347827,0.4694090322580645,63,0.355,1.641,65.079,0.916,0.216,193.52331606217615,0.47148369896404624,156,,
190.0,adx_plus_crossover_minus,[190],adx_plus_crossover_minus^190,4,3,74,0.014,0.3926540596233351,74,0.218,1.226,67.568,0.761,0.178,330.32786885245906,0.2884392495921697,74,0.309,1.389,59.459,1.209,0.222,182.95454545454544,0.4106363066954644,74,0.467,1.483,68.919,0.948,0.315,108.10385523210071,0.6262177140930547,,,
240.0,kdj_k_crossover_d_2,[240 216 216  30],kdj_k_crossover_d_2^240^216^216^30,4,0,9,0.002,0.39582550174394193,9,0.263,1.047,55.556,1.405,0.251,-1.0,0.18872447946513848,9,0.543,1.851,66.667,1.122,0.293,-1.0,0.39125042139384125,9,1.26,2.891,66.667,2.097,0.436,-1.0,0.9204406779661016,216,216,30
