开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-18 03:00:00,2026-06-18,26.632,105.225,6.94,5.805,4.786,15.161,18.128,0.949,1.03,37.0,51.351,2.782,46.434,3.7,kdj_k_overbought^70^35^50&rsi_fast_crossover_slow^25^60&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,26.712,105.618,5.697,5.965,4.757,18.541,17.705,0.927,0.838,42.0,50.0,2.688,46.854,4.2,kdj_k_overbought^70^35^50&emacd_start_increase^45^90&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,26.748,105.798,5.049,6.485,4.586,20.953,16.315,0.854,0.892,30.0,60.0,2.716,47.293,3.0,smi_overbought^60^24^0.0^EMA&kdj_k_crossover_d^60^18^18&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,26.871,106.408,6.919,6.169,5.139,15.38,17.249,0.903,0.859,41.0,51.22,2.893,46.286,4.1,smi_k_higher_d^90^72^63&rsi_fast_crossover_slow^30^48&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,26.88,106.452,6.532,5.988,4.757,16.297,17.777,0.93,0.839,42.0,50.0,2.717,47.002,4.2,smi_overbought^60^24^0.0^EMA&emacd_start_increase^45^90&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,26.993,107.01,6.63,6.229,5.185,16.141,17.181,0.899,0.861,41.0,51.22,2.902,46.378,4.1,smi_k_higher_d^90^72^63&rsi_fast_crossover_slow^25^60&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,27.056,107.322,4.781,6.032,4.856,22.447,17.792,0.931,0.795,46.0,50.0,2.841,46.946,4.6,ma_atr_long_period^35.0^42.0^2.3999999999999995&rsi_fast_crossover_slow^30^48&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,27.124,107.663,3.953,5.969,4.709,27.235,18.037,0.944,0.784,46.0,50.0,2.795,47.321,4.6,ma_atr_long_period^50.0^60.0^2.3999999999999995&rsi_fast_crossover_slow^25^60&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,27.202,108.048,5.413,6.212,4.719,19.963,17.393,0.91,0.796,40.0,50.0,3.162,47.881,4.0,smacd_increase^140^224&kdj_k_crossover_d^60^18^18&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,27.215,108.116,6.72,5.964,4.912,16.088,18.129,0.949,1.027,37.0,51.351,2.851,46.529,3.7,kdj_k_overbought^70^35^50&rsi_fast_crossover_slow^30^48&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,27.54,109.739,7.125,6.065,4.996,15.401,18.094,0.947,1.056,36.0,52.778,2.813,46.557,3.6,smi_overbought^60^24^0.0^EMA&rsi_fast_crossover_slow^25^60&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,27.555,109.811,6.336,6.04,4.886,17.332,18.182,0.952,1.039,36.0,52.778,2.752,46.638,3.6,kdj_k_overbought^70^35^50&emacd_start_increase^50^80&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,28.077,112.44,3.793,6.229,4.915,29.644,18.052,0.945,0.783,46.0,50.0,2.915,47.513,4.6,ma_atr_long_period^50.0^60.0^2.3999999999999995&rsi_fast_crossover_slow^30^48&trailing_stop^34^3.0
2026-02-18 03:00:00,2026-06-18,28.123,112.672,6.905,6.227,5.123,16.317,18.095,0.947,1.052,36.0,52.778,2.886,46.652,3.6,smi_overbought^60^24^0.0^EMA&rsi_fast_crossover_slow^30^48&trailing_stop^34^3.5
2026-02-18 03:00:00,2026-06-18,30.058,122.601,5.196,6.494,5.494,23.595,18.878,0.988,0.797,50.0,50.0,2.992,47.044,5.0,trix_higher_signal^60.0^24.0&rsi_fast_crossover_slow^30^48&trailing_stop^34^3.0
