total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
1.419,50.617,1.06,81.0,5.216,convexity_higher1^6^SMA|rvi_neutral^40^15.0^-15.0^EMA&tsi_crossover0^50^45^EMA|smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72|mass_crossover1^220^88&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.5
1.421,56.044,0.852,91.0,4.519,tsi_neutral^220^176^10.0^-10.0^SMA|convexity_higher1^6^SMA&smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72|mass_crossover1^220^88|tsi_crossover0^80^24^EMA&trailing_stop^34^2.5|bb_price_crossunder_high^34^2
1.424,56.18,0.849,89.0,4.485,tsi_neutral^220^176^10.0^-10.0^SMA|convexity_higher1^6^SMA&smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72|mass_crossover1^220^88|ema_fast_crossover_slow^30^72&trailing_stop^34^2.5|bb_price_crossunder_high^34^2
1.508,51.948,1.014,77.0,3.579,convexity_higher1^6^SMA|rvi_neutral^40^15.0^-15.0^EMA&ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|mass_crossover1^220^88|tsi_crossover0^80^24^EMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.5
1.514,60.714,0.703,84.0,6.745,tsi_neutral^220^176^10.0^-10.0^SMA|convexity_higher1^6^SMA&smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72|mass_crossover1^220^88|tsi_crossover0^80^24^EMA&trailing_stop^34^3.5|bb_price_crossunder_high^34^2
1.517,47.945,1.191,73.0,3.735,rvi_neutral^23^15.0^-15.0^EMA|rvi_neutral^40^15.0^-15.0^EMA&smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72|ema_fast_crossover_slow^30^72|adx_crossunder_threshold^190.0^10.0&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.5
1.575,51.19,1.041,84.0,5.145,tsi_neutral^220^176^10.0^-10.0^SMA|convexity_higher1^6^SMA&smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72|mass_crossover1^220^88|tsi_crossover0^80^24^EMA&bb_price_crossunder_high^34^2.5|trailing_stop^34^2.5
1.582,57.647,0.809,85.0,4.385,convexity_higher1^6^SMA|rvi_neutral^40^15.0^-15.0^EMA&ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72|ema_fast_crossover_slow^30^72&trailing_stop^34^2.5|bb_price_crossunder_high^34^2
1.605,49.333,1.16,75.0,3.666,convexity_higher1^6^SMA|kdj_d_neutral^200^180^100^70^30&smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72|tsi_crossover0^80^24^EMA&trailing_stop^34^2.5|bb_price_crossunder_high^34^2
1.612,62.651,0.65,83.0,6.855,tsi_neutral^220^176^10.0^-10.0^SMA|convexity_higher1^6^SMA&ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72|mass_crossover1^220^88&trailing_stop^34^3.5|bb_price_crossunder_high^34^2
1.639,60.563,0.763,71.0,2.23,tsi_overbought^35^28^0.0^SMA|sma_fast_higher_slow^35^63&smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72|mass_crossover1^220^88|tsi_crossover0^80^24^EMA&trailing_stop^34^2.5|bb_price_crossunder_high^34^2
1.678,58.427,0.785,89.0,4.622,tsi_neutral^220^176^10.0^-10.0^SMA|convexity_higher1^6^SMA&ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72|mass_crossover1^220^88&trailing_stop^34^2.5|bb_price_crossunder_high^34^2
1.68,58.333,0.792,84.0,4.628,tsi_neutral^220^176^10.0^-10.0^SMA|convexity_higher1^6^SMA&ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|smacd_crossover_signal_2^120^336^72|ema_fast_crossover_slow^30^72&trailing_stop^34^2.5|bb_price_crossunder_high^34^2
