total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
11.502,43.59,1.568,156.0,9.29,kdj_d_neutral^20^14^6^80^20|bb_neutral^10.0^2.5&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|bb_price_crossover_high^190.0^1.9|kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
11.608,76.19,2.453,21.0,0.894,rvi_neutral^17^20.0^-20.0^SMA|rvi_signal_overbought^60^42^0.0^SMA&tsi_crossover_signal^200^180^160^SMA|smacd_crossover_signal_3^200^520^280|stoch_k_crossover_d^210^189^189|aroon_diff_crossover0^210&trailing_stop^34^3.5|bb_price_crossunder_high^34^2.5
11.635,42.763,1.625,152.0,8.914,rsi_neutral^90^65^35|tsi_neutral^160^48^20.0^-20.0^EMA&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|bb_price_crossover_high^190.0^1.9|kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
11.923,42.857,1.611,154.0,9.096,rsi_neutral^90^65^35|adx_higher_threshold^80.0^5.0&smacd_histogram_start_increase_2^220^440^220|second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
11.969,43.421,1.585,152.0,10.159,rsi_neutral^90^65^35|tsi_neutral^160^48^20.0^-20.0^EMA&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|bb_price_crossover_high^190.0^1.9|kc_price_crossover_low^14.0^17.0^2.5&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
12.622,70.588,7.402,17.0,0.896,rvi_signal_overbought^60^42^0.0^SMA|adx_higher_threshold^210.0^5.0&tsi_crossover_signal^200^180^160^SMA|smacd_crossover_signal_3^210^546^273|smacd_crossover_signal_2^190^380^152|aroon_diff_crossover0^210&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
12.627,66.667,8.027,18.0,0.961,rvi_signal_overbought^60^42^0.0^SMA|adx_higher_threshold^210.0^5.0&tsi_crossover_signal^200^180^160^SMA|smacd_crossover_signal_3^210^546^273|smacd_crossover_signal^180^360^216|aroon_diff_crossover0^210&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
12.668,42.384,1.671,151.0,9.14,rsi_neutral^90^65^35|adx_higher_threshold^80.0^5.0&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|kc_price_crossover_low^20.0^20.0^2.8999999999999995|mass_crossover1^230^161&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
12.676,44.025,1.56,159.0,8.881,rsi_neutral^90^65^35|bb_neutral^10.0^2.5&bb_price_crossover_high_2^160.0^1.9|second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
12.689,44.375,1.533,160.0,10.162,rsi_neutral^90^65^35|bb_neutral^10.0^2.5&bb_price_crossover_high_2^160.0^1.9|second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|kc_price_crossover_low^14.0^17.0^2.5&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
12.948,44.371,1.565,151.0,7.576,rvi_signal_neutral^50^30^15.0^-15.0^EMA|stoch_d_neutral^17^14^5^80^20&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|bb_price_crossover_high^190.0^1.9|kc_price_crossover_low^14.0^17.0^2.5&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
12.998,43.333,1.628,150.0,8.821,bb_neutral^10.0^2.5|tsi_neutral^160^48^20.0^-20.0^EMA&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|bb_price_crossover_high^190.0^1.9|kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
13.01,44.521,1.571,146.0,7.093,tsi_neutral^160^48^20.0^-20.0^EMA|stoch_d_neutral^17^14^5^80^20&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|bb_price_crossover_high^190.0^1.9|kc_price_crossover_low^14.0^17.0^2.5&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
13.085,76.471,7.332,17.0,0.908,rvi_signal_overbought^60^42^0.0^SMA|adx_higher_threshold^210.0^5.0&smacd_crossover_signal_3^210^546^273|smacd_crossover_signal_2^190^380^152|smacd_crossover_signal^180^360^216|aroon_diff_crossover0^210&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
13.087,84.211,7.185,19.0,1.134,smi_overbought^60^30^0.0^EMA|kdj_k_neutral^17^10^75^25&tsi_crossover_signal^200^180^160^SMA|smacd_crossover_signal_2^190^380^152|aroon_diff_crossover0^210|mass_crossover1^230^161&trailing_stop^34^3.5|bb_price_crossunder_high^34^2.5
13.087,84.211,7.185,19.0,1.134,kdj_k_overbought^70^56^50|kdj_k_neutral^17^10^75^25&tsi_crossover_signal^200^180^160^SMA|smacd_crossover_signal_2^190^380^152|aroon_diff_crossover0^210|mass_crossover1^230^161&trailing_stop^34^3.5|bb_price_crossunder_high^34^2.5
13.292,79.167,1.997,24.0,1.041,smi_neutral^11^7^30.0^-30.0^EMA|rvi_signal_overbought^60^42^0.0^SMA&tsi_crossover_signal^200^180^160^SMA|smacd_crossover_signal_2^190^380^152|stoch_k_crossover50^100^70|aroon_diff_crossover0^210&trailing_stop^34^3.5|bb_price_crossunder_high^34^2.5
13.358,42.953,1.653,149.0,9.102,bb_neutral^10.0^2.5|adx_higher_threshold^80.0^5.0&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|kc_price_crossover_low^20.0^20.0^2.8999999999999995|mass_crossover1^230^161&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
13.371,85.0,2.124,20.0,0.942,rvi_signal_overbought^60^42^0.0^SMA|kdj_k_neutral^17^10^75^25&tsi_crossover_signal^200^180^160^SMA|smacd_crossover_signal_3^200^520^280|smacd_crossover_signal_2^190^380^152|stoch_k_crossover50^100^70&trailing_stop^34^3.5|bb_price_crossunder_high^34^2.5
13.48,42.759,1.672,145.0,9.18,kc_neutral^8.0^8.0^1.7|adx_higher_threshold^80.0^5.0&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|kc_price_crossover_low^20.0^20.0^2.8999999999999995|mass_crossover1^230^161&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
13.647,42.759,1.678,145.0,9.35,rvi_signal_neutral^50^30^15.0^-15.0^EMA|adx_higher_threshold^80.0^5.0&second_wave_trend_2^16|emacd_histogram_start_increase_2^110^154^132|kc_price_crossover_low^20.0^20.0^2.8999999999999995|mass_crossover1^230^161&trailing_stop^34^3.0|bb_price_crossunder_high^34^2.5
13.776,90.0,1.594,20.0,0.936,rvi_signal_overbought^60^42^0.0^SMA|kdj_k_neutral^17^10^75^25&tsi_crossover_signal^200^180^160^SMA|smacd_crossover_signal_2^190^380^152|stoch_k_crossover_d^210^189^189|stoch_k_crossover50^100^70&trailing_stop^34^3.5|bb_price_crossunder_high^34^2.5
13.815,41.176,1.804,136.0,9.986,rsi_neutral^90^65^35|bb_neutral^10.0^2.5&second_wave_trend_2^16|emacd_histogram_start_increase^230^644^322|rvi_crossover_signal^100^80|kc_price_crossover_low^20.0^20.0^2.8999999999999995&trailing_stop^34^3.0|aroon_diff_crossunder0^89
