coin_name,inv0,cl_name,cl_canshu,is_run,cl_id,cl_index
GC2608,15min,tsi_neutral^30^27^5.0^-5.0^SMA|convexity_higher1^16^EMA&emacd_histogram_start_increase^150^360^90|smacd_histogram_start_increase_2^230^598^230|stoch_k_crossover_d_2^210^147^105^15&trailing_stop^34^2.5|trailing_stop^34^3.5,0,1,tsi_neutral^30^27^5.0^-5.0^SMA|convexity_higher1^16^EMA&emacd_histogram_start_increase^150^360^90|smacd_histogram_start_increase_2^230^598^230|stoch_k_crossover_d_2^210^147^105^15&trailing_stop^34^2.5|trailing_stop^34^3.5,tsi_neutral^30^27^5.0^-5.0^SMA|convexity_higher1^16^EMA&emacd_histogram_start_increase^150^360^90|smacd_histogram_start_increase_2^230^598^230|stoch_k_crossover_d_2^210^147^105^15&trailing_stop^34^2.5|trailing_stop^34^3.5
GC2608,15min,rvi_overbought^70^0.0^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&mass_crossunder1^140^70|smi_k_crossover_d_2^240^216^216^45|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5,0,1,rvi_overbought^70^0.0^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&mass_crossunder1^140^70|smi_k_crossover_d_2^240^216^216^45|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5,rvi_overbought^70^0.0^SMA|tsi_neutral^30^27^5.0^-5.0^SMA&mass_crossunder1^140^70|smi_k_crossover_d_2^240^216^216^45|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5
GC2608,15min,rvi_neutral^50^5.0^-5.0^SMA|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|sma_fast_crossover_slow_2^100^280|bb_price_crossover_low_2^60.0^2.0999999999999996&aroon_diff_crossunder0^109|trailing_stop^34^3.0,0,1,rvi_neutral^50^5.0^-5.0^SMA|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|sma_fast_crossover_slow_2^100^280|bb_price_crossover_low_2^60.0^2.0999999999999996&aroon_diff_crossunder0^109|trailing_stop^34^3.0,rvi_neutral^50^5.0^-5.0^SMA|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|sma_fast_crossover_slow_2^100^280|bb_price_crossover_low_2^60.0^2.0999999999999996&aroon_diff_crossunder0^109|trailing_stop^34^3.0
GC2608,15min,tsi_neutral^30^27^5.0^-5.0^SMA|rvi_signal_neutral^40^20^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|smacd_histogram_start_increase_2^230^598^230|stoch_k_crossover_d_2^210^147^105^15&aroon_diff_crossunder0^109|trailing_stop^34^2.5,0,1,tsi_neutral^30^27^5.0^-5.0^SMA|rvi_signal_neutral^40^20^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|smacd_histogram_start_increase_2^230^598^230|stoch_k_crossover_d_2^210^147^105^15&aroon_diff_crossunder0^109|trailing_stop^34^2.5,tsi_neutral^30^27^5.0^-5.0^SMA|rvi_signal_neutral^40^20^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|smacd_histogram_start_increase_2^230^598^230|stoch_k_crossover_d_2^210^147^105^15&aroon_diff_crossunder0^109|trailing_stop^34^2.5
GC2608,15min,trix_increase^70|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|ma_atr_long_signal^18.0^22.0^2.8|stoch_k_crossover_d_2^210^147^105^15&aroon_diff_crossunder0^109|trailing_stop^34^3.5,0,1,trix_increase^70|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|ma_atr_long_signal^18.0^22.0^2.8|stoch_k_crossover_d_2^210^147^105^15&aroon_diff_crossunder0^109|trailing_stop^34^3.5,trix_increase^70|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|ma_atr_long_signal^18.0^22.0^2.8|stoch_k_crossover_d_2^210^147^105^15&aroon_diff_crossunder0^109|trailing_stop^34^3.5
GC2608,15min,atr_fast_higher_slow^210^546|skew_negative^20^EMA&sma_fast_crossover_slow_3^130^234|emacd_crossover_signal^230^414^276|adx_crossover_threshold^45.0^35.0&bb_price_crossunder_high^34^2|trailing_stop^34^3.5,0,1,atr_fast_higher_slow^210^546|skew_negative^20^EMA&sma_fast_crossover_slow_3^130^234|emacd_crossover_signal^230^414^276|adx_crossover_threshold^45.0^35.0&bb_price_crossunder_high^34^2|trailing_stop^34^3.5,atr_fast_higher_slow^210^546|skew_negative^20^EMA&sma_fast_crossover_slow_3^130^234|emacd_crossover_signal^230^414^276|adx_crossover_threshold^45.0^35.0&bb_price_crossunder_high^34^2|trailing_stop^34^3.5
GC2608,15min,rvi_overbought^70^0.0^SMA|rvi_signal_neutral^40^20^5.0^-5.0^SMA&mass_crossunder1^140^70|emacd_crossover_signal^230^414^276|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^3.5,0,1,rvi_overbought^70^0.0^SMA|rvi_signal_neutral^40^20^5.0^-5.0^SMA&mass_crossunder1^140^70|emacd_crossover_signal^230^414^276|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^3.5,rvi_overbought^70^0.0^SMA|rvi_signal_neutral^40^20^5.0^-5.0^SMA&mass_crossunder1^140^70|emacd_crossover_signal^230^414^276|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^3.5
GC2608,15min,tsi_neutral^30^27^5.0^-5.0^SMA|convexity_higher1^16^EMA&emacd_histogram_start_increase^130^364^104|tsi_crossover0^220^198^EMA|stoch_k_crossover_d_2^210^147^105^15&trailing_stop^34^2.5|trailing_stop^34^3.5,0,1,tsi_neutral^30^27^5.0^-5.0^SMA|convexity_higher1^16^EMA&emacd_histogram_start_increase^130^364^104|tsi_crossover0^220^198^EMA|stoch_k_crossover_d_2^210^147^105^15&trailing_stop^34^2.5|trailing_stop^34^3.5,tsi_neutral^30^27^5.0^-5.0^SMA|convexity_higher1^16^EMA&emacd_histogram_start_increase^130^364^104|tsi_crossover0^220^198^EMA|stoch_k_crossover_d_2^210^147^105^15&trailing_stop^34^2.5|trailing_stop^34^3.5
GC2608,15min,tsi_neutral^30^27^5.0^-5.0^SMA|convexity_higher1^16^EMA&emacd_histogram_start_increase^130^364^104|sma_fast_crossover_slow^100^280|stoch_k_crossover_d_2^210^147^105^15&trailing_stop^34^2.5|trailing_stop^34^3.0,0,1,tsi_neutral^30^27^5.0^-5.0^SMA|convexity_higher1^16^EMA&emacd_histogram_start_increase^130^364^104|sma_fast_crossover_slow^100^280|stoch_k_crossover_d_2^210^147^105^15&trailing_stop^34^2.5|trailing_stop^34^3.0,tsi_neutral^30^27^5.0^-5.0^SMA|convexity_higher1^16^EMA&emacd_histogram_start_increase^130^364^104|sma_fast_crossover_slow^100^280|stoch_k_crossover_d_2^210^147^105^15&trailing_stop^34^2.5|trailing_stop^34^3.0
GC2608,15min,smacd_higher_signal^6^11^7|rvi_signal_neutral^40^20^5.0^-5.0^SMA&mass_crossunder1^120^84|emacd_crossover_signal^230^414^276|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5,0,1,smacd_higher_signal^6^11^7|rvi_signal_neutral^40^20^5.0^-5.0^SMA&mass_crossunder1^120^84|emacd_crossover_signal^230^414^276|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5,smacd_higher_signal^6^11^7|rvi_signal_neutral^40^20^5.0^-5.0^SMA&mass_crossunder1^120^84|emacd_crossover_signal^230^414^276|smacd_start_increase^140^364&roc_crossunder0^59|trailing_stop^34^2.5
