开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-16 08:15:00,2026-06-18,52.034,251.457,9.267,5.275,3.719,27.134,47.671,2.495,0.764,28.0,50.0,3.413,51.823,2.8,ma_atr_long_period^230.0^276.0^1.2&emacd_histogram_start_increase^220^572^176&trailing_stop^34^3.0
2026-02-16 08:15:00,2026-06-18,52.079,251.768,8.009,6.032,3.187,31.437,41.742,2.185,0.744,12.0,83.333,3.953,55.479,1.2,rvi_higher_signal^8^2&kdj_k_crossover_d^230^115^69&trailing_stop^34^3.0
2026-02-16 08:15:00,2026-06-18,52.109,251.973,8.174,5.871,3.23,30.824,42.919,2.246,0.716,15.0,60.0,4.354,54.131,1.5,sma_fast_higher_slow^230^598&kdj_k_crossover_d^230^115^69&trailing_stop^34^3.0
2026-02-16 08:15:00,2026-06-18,52.126,252.091,9.087,5.333,3.941,27.742,47.27,2.474,0.765,24.0,58.333,2.874,49.917,2.4,emacd_histogram_increase^6^8^4&smacd_histogram_start_increase_2^230^322^184&trailing_stop^34^3.0
2026-02-16 08:15:00,2026-06-18,52.127,252.101,9.017,5.204,3.994,27.959,48.444,2.536,0.797,27.0,59.259,2.724,50.107,2.7,smacd_higher_signal^110^286^132&smacd_histogram_start_increase_2^230^322^184&trailing_stop^34^3.0
2026-02-16 08:15:00,2026-06-18,52.239,252.875,7.635,6.543,4.468,33.122,38.648,2.023,0.652,44.0,56.818,2.433,51.386,4.4,adx_lower_threshold^35.0^15.0&smacd_histogram_start_increase^70^112^70&trailing_stop^34^2.5
2026-02-16 08:15:00,2026-06-18,52.288,253.22,8.11,5.971,3.153,31.223,42.406,2.22,0.638,16.0,62.5,4.616,54.192,1.6,atr_fast_lower_slow^18^29&kdj_k_crossover_d^230^115^69&trailing_stop^34^3.0
2026-02-16 08:15:00,2026-06-18,52.292,253.245,9.43,5.533,3.849,26.854,45.771,2.396,0.692,29.0,55.172,3.16,51.028,2.9,stoch_k_overbought^29^26^50&smacd_histogram_start_increase_2^230^322^184&trailing_stop^34^3.0
2026-02-16 08:15:00,2026-06-18,52.32,253.441,8.118,5.702,3.35,31.219,44.446,2.326,0.73,21.0,66.667,3.875,53.938,2.1,smi_overbought^250^100^0.0^SMA&smacd_start_increase^110^308&trailing_stop^34^3.0
2026-02-16 08:15:00,2026-06-18,52.377,253.839,8.11,6.071,3.436,31.299,41.813,2.189,0.792,14.0,64.286,6.075,53.931,1.4,roc_higher0^200&kdj_k_crossover_d^230^115^69&trailing_stop^34^3.0
