coin_name,inv0,cl_name,cl_canshu,is_run,cl_id,cl_index
GC2608,15min,kc_neutral^55.0^66.0^2.6999999999999997|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^130^364^104|kdj_k_crossover_d_2^160^144^144^15&aroon_diff_crossunder0^89|trailing_stop^34^2.5,0,1,kc_neutral^55.0^66.0^2.6999999999999997|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^130^364^104|kdj_k_crossover_d_2^160^144^144^15&aroon_diff_crossunder0^89|trailing_stop^34^2.5,kc_neutral^55.0^66.0^2.6999999999999997|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^130^364^104|kdj_k_crossover_d_2^160^144^144^15&aroon_diff_crossunder0^89|trailing_stop^34^2.5
GC2608,15min,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|stoch_k_crossover50^190^133&trailing_stop^34^3.0|trailing_stop^34^3.5,0,1,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|stoch_k_crossover50^190^133&trailing_stop^34^3.0|trailing_stop^34^3.5,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|stoch_k_crossover50^190^133&trailing_stop^34^3.0|trailing_stop^34^3.5
GC2608,15min,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|emacd_crossover_signal_2^30^42^24&trailing_stop^34^3.0|trailing_stop^34^3.5,0,1,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|emacd_crossover_signal_2^30^42^24&trailing_stop^34^3.0|trailing_stop^34^3.5,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|emacd_crossover_signal_2^30^42^24&trailing_stop^34^3.0|trailing_stop^34^3.5
GC2608,15min,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|mass_crossunder1^140^70&trailing_stop^34^3.0|trailing_stop^34^3.5,0,1,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|mass_crossunder1^140^70&trailing_stop^34^3.0|trailing_stop^34^3.5,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|mass_crossunder1^140^70&trailing_stop^34^3.0|trailing_stop^34^3.5
GC2608,15min,stoch_k_higher_d^23^7^16|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|ma_atr_long_signal^18.0^22.0^2.8&roc_crossunder0^59|trailing_stop^34^3.0,0,1,stoch_k_higher_d^23^7^16|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|ma_atr_long_signal^18.0^22.0^2.8&roc_crossunder0^59|trailing_stop^34^3.0,stoch_k_higher_d^23^7^16|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^150^360^90|ma_atr_long_signal^18.0^22.0^2.8&roc_crossunder0^59|trailing_stop^34^3.0
GC2608,15min,rvi_signal_neutral^40^20^5.0^-5.0^SMA|convexity_higher1^6^SMA&smacd_start_increase^140^364|sma_fast_crossover_slow^110^264&roc_crossunder0^59|trailing_stop^34^3.5,0,1,rvi_signal_neutral^40^20^5.0^-5.0^SMA|convexity_higher1^6^SMA&smacd_start_increase^140^364|sma_fast_crossover_slow^110^264&roc_crossunder0^59|trailing_stop^34^3.5,rvi_signal_neutral^40^20^5.0^-5.0^SMA|convexity_higher1^6^SMA&smacd_start_increase^140^364|sma_fast_crossover_slow^110^264&roc_crossunder0^59|trailing_stop^34^3.5
GC2608,15min,stoch_k_higher_d^23^7^16|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^130^364^104|ma_atr_long_signal^18.0^22.0^2.8&roc_crossunder0^59|trailing_stop^34^3.0,0,1,stoch_k_higher_d^23^7^16|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^130^364^104|ma_atr_long_signal^18.0^22.0^2.8&roc_crossunder0^59|trailing_stop^34^3.0,stoch_k_higher_d^23^7^16|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^130^364^104|ma_atr_long_signal^18.0^22.0^2.8&roc_crossunder0^59|trailing_stop^34^3.0
GC2608,15min,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|sma_fast_crossover_slow_2^100^280&trailing_stop^34^3.0|trailing_stop^34^3.5,0,1,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|sma_fast_crossover_slow_2^100^280&trailing_stop^34^3.0|trailing_stop^34^3.5,stoch_k_neutral^250^125^60^40|rvi_signal_neutral^8^2^10.0^-10.0^EMA&emacd_start_increase^55^99|sma_fast_crossover_slow_2^100^280&trailing_stop^34^3.0|trailing_stop^34^3.5
GC2608,15min,kc_neutral^55.0^66.0^2.6999999999999997|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^130^364^104|stoch_k_crossover_d_2^210^147^105^15&aroon_diff_crossunder0^59|trailing_stop^34^2.5,0,1,kc_neutral^55.0^66.0^2.6999999999999997|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^130^364^104|stoch_k_crossover_d_2^210^147^105^15&aroon_diff_crossunder0^59|trailing_stop^34^2.5,kc_neutral^55.0^66.0^2.6999999999999997|tsi_neutral^30^27^5.0^-5.0^SMA&emacd_histogram_start_increase^130^364^104|stoch_k_crossover_d_2^210^147^105^15&aroon_diff_crossunder0^59|trailing_stop^34^2.5
SI2607,15min,stoch_d_overbought^200^120^60^50|bb_neutral^8.0^1.5&smacd_histogram_start_increase^110^220^99|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^89|trailing_stop^34^2.5,0,1,stoch_d_overbought^200^120^60^50|bb_neutral^8.0^1.5&smacd_histogram_start_increase^110^220^99|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^89|trailing_stop^34^2.5,stoch_d_overbought^200^120^60^50|bb_neutral^8.0^1.5&smacd_histogram_start_increase^110^220^99|smi_d_crossover0^210^63^63^EMA&aroon_diff_crossunder0^89|trailing_stop^34^2.5
