param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
200.0,stoch_k_crossunder50,[200 180],stoch_k_crossunder50^200^180,4,0,9,0.002,0.414797672926704,9,0.514,0.934,66.667,2.576,0.55,-1.0,0.379600556745182,9,0.576,1.603,77.778,0.687,0.359,-1.0,0.41768803493449774,9,0.674,1.193,77.778,0.973,0.565,-1.0,0.49845492036881806,180,,
170.0,trix_crossunder0,[170],trix_crossunder0^170,4,0,5,0.001,0.4168429016358909,5,0.397,0.325,100.0,100.0,1.222,-1.0,0.3118465538461538,5,0.945,0.655,80.0,22.144,1.443,-1.0,0.7569377862595418,5,0.235,0.824,80.0,0.5,0.285,-1.0,0.16919144417475726,,,
170.0,stoch_k_crossunder50,[170 102],stoch_k_crossunder50^170^102,4,0,12,0.002,0.42023041693136476,12,0.659,0.522,91.667,6.817,1.262,-1.0,0.5195369157088122,12,0.485,0.909,83.333,0.838,0.534,-1.0,0.35761413641364137,12,0.369,1.256,66.667,1.104,0.294,-1.0,0.2658885907643312,102,,
250.0,stoch_d_crossunder50,[250 100 125],stoch_d_crossunder50^250^100^125,4,0,8,0.001,0.420620126003548,8,0.815,1.146,75.0,2.621,0.711,-1.0,0.611072207678883,8,0.276,1.212,62.5,0.964,0.228,-1.0,0.19759960396039605,8,0.387,1.291,62.5,1.178,0.3,-1.0,0.279020704879938,100,125,
50.0,kdj_k_crossunder_d,[50 40 45],kdj_k_crossunder_d^50^40^45,4,4,72,0.013,0.4301719885129819,71,0.434,1.225,63.38,1.661,0.354,65.88983050847457,0.5841888,71,0.426,1.476,64.789,1.19,0.289,-14.227642276422767,0.30680658536585365,71,0.322,1.519,64.789,0.92,0.212,-11.81736794986571,0.23017806451612902,40,45,
150.0,smi_k_crossunder0,[150 60 'EMA'],smi_k_crossunder0^150^60^EMA,4,0,12,0.002,0.4378940569324018,12,0.731,0.543,100.0,100.0,1.346,-1.0,0.5805863167587476,12,0.421,1.012,83.333,0.587,0.416,-1.0,0.30695975296442685,12,0.387,1.573,66.667,1.016,0.246,-1.0,0.27756486331849967,60,EMA,
250.0,stoch_k_crossunder_d,[250 225 175],stoch_k_crossunder_d^250^225^175,4,0,12,0.002,0.4380616490652569,12,0.508,0.824,83.333,0.803,0.617,-1.0,0.3775229126213592,12,0.575,0.989,83.333,0.849,0.581,-1.0,0.4259011627906977,12,0.817,1.307,66.667,2.146,0.625,-1.0,0.60764921958684,225,175,
240.0,rvi_signal_crossunder0,[240 120 'SMA'],rvi_signal_crossunder0^240^120^SMA,4,0,11,0.002,0.4395895804720457,11,0.466,1.015,54.545,3.195,0.459,-1.0,0.34117627586206895,11,0.766,1.174,72.727,1.954,0.652,-1.0,0.5711854514480409,11,0.672,1.773,63.636,1.426,0.379,-1.0,0.48822903553299496,120,SMA,
180.0,adx_crossunder_threshold,[180.  10.],adx_crossunder_threshold^180.0^10.0,4,0,7,0.001,0.4419137008564494,7,0.266,0.671,42.857,3.855,0.396,-1.0,0.19358140089418777,7,0.627,0.979,57.143,3.27,0.64,-1.0,0.46700932584269655,7,1.391,2.635,57.143,3.061,0.528,-1.0,1.0251010132827325,10.0,,
100.0,kc_price_crossunder_high,[100.  100.    3.9],kc_price_crossunder_high^100.0^100.0^3.9,4,4,98,0.018,0.44385260769477847,98,0.295,1.203,55.102,1.837,0.245,22.245108135942324,0.3929041978387365,98,0.364,1.642,62.245,1.114,0.222,-71.15531752104054,0.26044842874543234,98,0.628,1.713,66.327,1.337,0.367,4.445506692160612,0.8463299007589026,100.0,3.9,
130.0,rvi_signal_crossunder0,[130 104 'SMA'],rvi_signal_crossunder0^130^104^SMA,4,0,16,0.003,0.447094383204476,16,0.6,0.796,81.25,2.136,0.754,-1.0,0.45165829145728636,16,0.522,1.262,68.75,1.319,0.414,-1.0,0.38051400950871633,16,0.729,1.473,62.5,2.611,0.495,-1.0,0.5355551731160895,104,SMA,
110.0,stoch_d_crossunder50,[110  44  77],stoch_d_crossunder50^110^44^77,4,0,16,0.003,0.4484762619324605,16,0.599,0.5,87.5,2.325,1.198,-1.0,0.46953213999999993,15,0.517,0.954,73.333,1.391,0.542,-1.0,0.38151240041928725,15,0.659,0.869,66.667,6.2,0.758,-1.0,0.49628235903337165,44,77,
50.0,emacd_crossunder_signal,[50 80 30],emacd_crossunder_signal^50^80^30,4,4,67,0.012,0.4496820679135337,66,0.312,0.906,66.667,1.204,0.344,27.150837988826815,0.4195676821192053,66,0.356,1.662,65.152,0.963,0.214,157.64499121265376,0.4727131648616125,66,0.37,1.889,63.636,0.957,0.196,75.09727626459144,0.49042138697723664,80,30,
25.0,adx_crossunder_threshold,[25. 45.],adx_crossunder_threshold^25.0^45.0,4,0,2,0.0,0.44976505292567015,2,0.073,0.15,50.0,2.878,0.487,-1.0,0.053586866666666656,2,0.834,0.389,100.0,100.0,2.144,-1.0,0.7089643187660668,2,1.282,0.747,100.0,100.0,1.716,-1.0,1.0514116198125838,45.0,,
230.0,sma_fast_crossunder_slow,[230 460],sma_fast_crossunder_slow^230^460,4,0,5,0.001,0.45364717688731016,5,0.354,0.217,100.0,100.0,1.631,-1.0,0.2882245161290322,5,0.641,0.998,80.0,1.003,0.642,-1.0,0.4775193086172344,5,1.051,0.808,100.0,100.0,1.301,-1.0,0.8313956311881187,460,,
100.0,stoch_k_crossunder_d_2,[100  80  50  85],stoch_k_crossunder_d_2^100^80^50^85,4,0,17,0.003,0.4562392825759043,17,0.621,0.535,88.235,3.205,1.161,-1.0,0.48515770093457944,17,0.414,1.278,64.706,1.148,0.324,-1.0,0.2991878873239436,17,0.848,1.942,64.706,1.7,0.437,-1.0,0.6195203295571575,80,50,85
