param_0,entry_name,params,signal_id,总月份数,有效月份数,总信号数量,总信号密度,score,w20_有效信号数,w20_平均收益%,w20_收益标准差%,w20_胜率%,w20_盈亏比,w20_稳定性,w20_收益衰减率%,w20_score,w40_有效信号数,w40_平均收益%,w40_收益标准差%,w40_胜率%,w40_盈亏比,w40_稳定性,w40_收益衰减率%,w40_score,w60_有效信号数,w60_平均收益%,w60_收益标准差%,w60_胜率%,w60_盈亏比,w60_稳定性,w60_收益衰减率%,w60_score,param_1,param_2,param_3
240.0,kdj_k_crossunder50,[240 144],kdj_k_crossunder50^240^144,4,0,13,0.002,0.44454538165790614,13,0.512,0.891,69.231,1.788,0.575,-1.0,0.3789949270482604,13,0.602,0.763,69.231,2.91,0.789,-1.0,0.45464807339449537,13,0.78,0.901,69.231,3.161,0.866,-1.0,0.5932674805771365,144,,
200.0,stoch_k_crossunder50,[200 100],stoch_k_crossunder50^200^100,4,0,16,0.002,0.44718395027560254,15,0.485,0.622,73.333,2.154,0.78,-1.0,0.36597226688102896,15,0.816,1.312,66.667,2.958,0.622,-1.0,0.6067258536585366,15,0.564,1.383,60.0,1.894,0.408,-1.0,0.41090030368763547,100,,
230.0,emacd_crossunder_signal_2,[230 644 299],emacd_crossunder_signal_2^230^644^299,4,0,6,0.001,0.4486433102023982,6,0.544,0.338,100.0,100.0,1.609,-1.0,0.4420885207100591,6,0.526,1.362,50.0,3.208,0.386,-1.0,0.38241976505139497,6,0.771,1.687,50.0,4.162,0.457,-1.0,0.564365601659751,644,299,
110.0,sma_fast_crossunder_slow,[110 286],sma_fast_crossunder_slow^110^286,4,0,11,0.002,0.46420231491624775,10,0.531,0.527,70.0,8.891,1.008,-1.0,0.4091521252371917,10,0.644,0.643,80.0,2.399,1.002,-1.0,0.49595010886469676,10,0.724,0.774,70.0,3.898,0.935,-1.0,0.5542060981912145,286,,
250.0,kdj_k_crossunder50,[250 150],kdj_k_crossunder50^250^150,4,0,13,0.002,0.4807821745458145,13,0.564,0.805,69.231,2.218,0.701,-1.0,0.42246052173913035,13,0.665,0.689,84.615,1.313,0.965,-1.0,0.5104285195936139,13,0.771,0.981,76.923,2.37,0.786,-1.0,0.5821167889908258,150,,
230.0,kdj_d_crossunder50,[230  69  69],kdj_d_crossunder50^230^69^69,4,0,11,0.002,0.5015677908117899,11,0.618,0.557,81.818,3.456,1.11,-1.0,0.48059763016157986,11,0.683,0.697,90.909,2.631,0.98,-1.0,0.5249496843615494,11,0.693,0.994,72.727,2.482,0.697,-1.0,0.518920352112676,69,69,
230.0,stoch_k_crossunder_d_2,[230 138 115  85],stoch_k_crossunder_d_2^230^138^115^85,4,0,5,0.001,0.5169280059182364,5,0.512,0.33,100.0,100.0,1.552,-1.0,0.41400630303030306,5,0.904,0.655,100.0,100.0,1.38,-1.0,0.7201360610687023,5,0.583,0.388,100.0,100.0,1.503,-1.0,0.469420180412371,138,115,85
240.0,stoch_k_crossunder_d_2,[240 216 216  85],stoch_k_crossunder_d_2^240^216^216^85,4,0,3,0.0,0.5253803650499946,2,0.4,0.628,50.0,4.505,0.637,-1.0,0.29783439490445857,2,0.725,0.537,100.0,100.0,1.35,-1.0,0.5760172253258844,2,1.119,0.112,100.0,100.0,9.991,-1.0,1.01829,216,216,85
220.0,stoch_d_crossunder50,[220 132 198],stoch_d_crossunder50^220^132^198,4,0,8,0.001,0.5778352054227474,8,0.617,1.189,62.5,5.333,0.519,-1.0,0.45431230445752724,8,0.932,1.474,62.5,3.365,0.632,-1.0,0.6936508005427408,8,0.954,1.412,62.5,3.761,0.676,-1.0,0.7129190651558073,132,198,
25.0,kc_price_crossunder_high_2,[25.  10.   1.5],kc_price_crossunder_high_2^25.0^10.0^1.5,4,0,1,0.0,0.5878599999999999,1,0.465,0.0,100.0,100.0,0.0,-1.0,0.3255,1,1.531,0.0,100.0,100.0,0.0,-1.0,1.0716999999999999,1,0.74,0.0,100.0,100.0,0.0,-1.0,0.518,10.0,1.5,
230.0,smi_k_crossunder0,[230 161 'SMA'],smi_k_crossunder0^230^161^SMA,4,0,8,0.001,0.6011729683920459,8,0.634,1.041,75.0,4.47,0.609,-1.0,0.4708287415946206,8,1.0,1.17,75.0,4.503,0.855,-1.0,0.7598290598290597,8,0.933,1.695,75.0,1.334,0.55,-1.0,0.6890493982300885,161,SMA,
210.0,smi_k_crossunder0,[210 168 'SMA'],smi_k_crossunder0^210^168^SMA,4,0,8,0.001,0.6358860610433018,8,0.744,1.113,75.0,4.574,0.668,-1.0,0.5556135849056603,8,1.015,1.514,62.5,3.284,0.67,-1.0,0.7581325957727872,8,0.885,1.627,75.0,1.292,0.544,-1.0,0.6531974492931776,168,SMA,
