开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,strategy_name
2026-02-16 06:45:00,2026-06-18,17.825,63.54,3.764,4.235,2.91,16.879,15.002,0.785,0.936,27.0,59.259,2.254,49.395,2.7,tsi_higher_signal^20^14^12^EMA&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.5
2026-02-16 06:45:00,2026-06-18,17.833,63.57,4.082,4.654,3.912,15.574,13.658,0.715,0.685,54.0,48.148,2.368,49.007,5.4,stoch_d_overbought^20^8^18^50&emacd_start_increase^120^288&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,17.842,63.61,3.712,4.393,2.853,17.137,14.478,0.758,0.823,29.0,55.172,2.841,50.16,2.9,smacd_higher_signal^25^65^15&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,17.849,63.638,3.883,3.819,3.414,16.39,16.665,0.872,0.734,52.0,51.923,2.014,48.637,5.2,adx_higher_threshold^50.0^10.0&emacd_histogram_start_increase^210^462^294&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,17.89,63.811,2.761,4.529,3.05,23.112,14.089,0.737,0.853,25.0,60.0,3.201,50.323,2.5,adx_higher_threshold^80.0^10.0&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,17.898,63.841,2.49,4.326,3.354,25.641,14.757,0.772,0.88,30.0,50.0,3.858,49.449,3.0,emacd_higher_signal^12^29^8&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,17.918,63.925,2.045,4.636,3.365,31.266,13.79,0.722,0.963,22.0,68.182,2.844,49.061,2.2,mass_higher1^150^60&emacd_crossover_signal^70^182^42&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,17.925,63.956,2.721,5.071,3.789,23.506,12.612,0.66,0.778,38.0,50.0,3.838,50.518,3.8,price_higher_ema^45&smi_k_crossover_d_2^60^48^42^15&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,17.944,64.034,3.549,4.461,3.222,18.041,14.355,0.751,0.828,29.0,62.069,2.751,49.649,2.9,kdj_k_neutral^8^2^85^15&tsi_crossover_signal^150^105^45^EMA&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,17.951,64.064,3.712,4.376,2.876,17.259,14.638,0.766,0.854,28.0,57.143,2.736,49.808,2.8,roc_higher0^25&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,17.994,64.244,2.83,4.099,3.256,22.703,15.675,0.82,0.769,39.0,51.282,2.792,49.566,3.9,emacd_histogram_increase^60^156^78&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,18.017,64.337,3.791,3.386,3.565,16.97,19.001,0.995,0.826,64.0,51.562,1.663,48.423,6.4,supertrend_long_period^210.0^3.0999999999999996&rvi_crossover0^26^SMA&trailing_stop^34^3.5
2026-02-16 06:45:00,2026-06-18,18.044,64.452,3.712,4.464,2.868,17.363,14.439,0.756,0.828,28.0,57.143,2.699,50.099,2.8,trix_higher_signal^20.0^20.0&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,18.151,64.899,2.979,4.007,3.352,21.783,16.195,0.848,0.865,38.0,52.632,2.702,49.348,3.8,rsi_fast_higher_slow^16^38&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.5
2026-02-16 06:45:00,2026-06-18,18.169,64.975,2.721,5.023,3.866,23.881,12.936,0.677,0.789,39.0,51.282,3.682,50.124,3.9,emacd_increase^35^56&smi_k_crossover_d_2^60^48^42^15&trailing_stop^34^3.0
2026-02-16 06:45:00,2026-06-18,18.222,65.199,2.985,4.082,3.398,21.84,15.973,0.836,0.856,39.0,51.282,2.985,49.885,3.9,rvi_overbought^40^0.0^EMA&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.5
2026-02-16 06:45:00,2026-06-18,18.253,65.327,3.854,3.987,3.121,16.949,16.383,0.858,0.898,37.0,51.351,2.633,49.77,3.7,rsi_neutral^11^60^40&kdj_k_crossover50^30^21&trailing_stop^34^3.5
2026-02-16 06:45:00,2026-06-18,18.266,65.38,2.985,4.123,3.379,21.901,15.857,0.83,0.848,38.0,52.632,2.837,49.881,3.8,adx_plus_higher_minus^12&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.5
2026-02-16 06:45:00,2026-06-18,18.301,65.528,2.462,4.547,3.389,26.62,14.41,0.754,0.956,24.0,62.5,3.022,50.233,2.4,atr_fast_higher_slow^110^198&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0
