datetime,open,high,low,close,volume,kc_neutral^60.0^24.0^1.9&emacd_crossover_signal^80^176^48&trailing_stop^34^3.0,skew_positive^60^EMA&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.5,smi_d_neutral^30^24^27^25.0^-25.0^SMA&kdj_k_crossover50^30^21&trailing_stop^34^3.0,kdj_k_neutral^8^2^85^15&rvi_signal_crossover0^30^24^EMA&trailing_stop^34^3.5,smi_d_neutral^30^24^27^25.0^-25.0^SMA&rvi_signal_crossover0^30^24^EMA&trailing_stop^34^3.0,rvi_overbought^29^0.0^SMA&kdj_k_crossover50^29^23&trailing_stop^34^3.0,supertrend_long_period^10.0^2.6999999999999997&price_crossover_sma_2^40&trailing_stop^34^3.5,kdj_d_neutral^60^30^18^75^25&rvi_signal_crossover0^30^24^EMA&trailing_stop^34^3.0,atr_fast_higher_slow^110^198&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0,sma_fast_higher_slow^6^11&rvi_signal_crossover0^30^24^EMA&trailing_stop^34^3.0,kc_neutral^60.0^24.0^1.9&rvi_signal_crossover0^30^24^EMA&trailing_stop^34^3.0,smi_d_neutral^30^24^27^25.0^-25.0^SMA&kdj_k_crossover50^29^23&trailing_stop^34^3.0,smi_k_higher_d^40^12^28&kdj_k_crossover50^30^21&trailing_stop^34^3.0,emacd_increase^55^88&smi_k_crossover_d_2^60^48^42^15&trailing_stop^34^3.0,rvi_higher_signal^70^63&kdj_k_crossover50^29^23&trailing_stop^34^3.0,emacd_higher_signal^12^29^8&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,price_higher_ema^45&smi_k_crossover_d_2^60^48^42^15&trailing_stop^34^3.0,emacd_increase^35^56&smi_k_crossover_d_2^60^48^42^15&trailing_stop^34^3.0,aroon_diff_higher0^30&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0,tsi_higher_signal^20^14^12^EMA&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,mass_higher1^150^60&emacd_crossover_signal^80^176^48&trailing_stop^34^3.5,mass_higher1^180^54&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0,atr_fast_higher_slow^110^198&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,emacd_histogram_increase^45^108^49&smi_k_crossover_d_2^60^48^42^15&trailing_stop^34^3.0,kdj_k_neutral^8^2^85^15&kdj_k_crossover50^29^23&trailing_stop^34^3.0,mass_higher1^180^54&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,mass_higher1^150^60&emacd_crossover_signal^70^182^42&trailing_stop^34^3.0,aroon_diff_higher0^50&kdj_k_crossover50^29^23&trailing_stop^34^3.5,mass_higher1^150^60&emacd_start_increase^120^288&trailing_stop^34^3.0,emacd_increase^55^88&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,kdj_k_neutral^8^2^85^15&rvi_signal_crossover0^30^24^EMA&trailing_stop^34^3.0,atr_fast_higher_slow^90^162&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,mass_higher1^150^60&kdj_k_crossover_d^80^72^72&trailing_stop^34^3.0,mass_higher1^150^60&emacd_start_increase^140^252&trailing_stop^34^3.0,adx_plus_higher_minus^12&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,mass_lower1^20^16&emacd_histogram_start_increase^220^396^308&trailing_stop^34^3.0,adx_plus_higher_minus^10&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,mass_higher1^150^60&emacd_crossover_signal^80^176^48&trailing_stop^34^3.0,mass_higher1^150^60&tsi_crossover_signal^150^105^45^EMA&trailing_stop^34^3.0,aroon_diff_higher0^50&kdj_k_crossover50^30^21&trailing_stop^34^3.5,emacd_increase^35^56&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,atr_fast_higher_slow^90^162&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0,supertrend_long_period^210.0^3.0999999999999996&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0,ma_atr_long_period^8.0^8.0^1.2&smacd_histogram_start_increase^230^460^253&trailing_stop^34^3.0,rsi_neutral^11^60^40&rvi_signal_crossover0^30^24^EMA&trailing_stop^34^3.0,mass_higher1^150^60&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.5,mass_higher1^150^60&kdj_k_crossover50^30^21&trailing_stop^34^3.0,mass_higher1^180^54&kdj_k_crossover50^29^23&trailing_stop^34^3.0,rvi_higher_signal^70^63&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,adx_higher_threshold^50.0^10.0&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,mass_higher1^150^60&kdj_k_crossover50^29^23&trailing_stop^34^3.0,mass_higher1^150^60&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0,emacd_histogram_increase^45^108^49&stoch_k_crossover_d^80^48^72&trailing_stop^34^3.0
2026-02-16 06:45:00,5.7745,5.781,5.772,5.774,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-16 07:00:00,5.774,5.7765,5.769,5.7745,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-16 07:15:00,5.7735,5.7825,5.7735,5.7825,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-16 07:30:00,5.7815,5.7905,5.7735,5.7885,176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-16 07:45:00,5.7855,5.7855,5.766,5.768,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-16 08:00:00,5.7695,5.786,5.7685,5.772,214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-16 08:15:00,5.772,5.7815,5.7695,5.773,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-16 08:30:00,5.7735,5.786,5.7725,5.786,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-16 08:45:00,5.7865,5.795,5.7865,5.7915,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-16 09:00:00,5.79,5.79,5.779,5.785,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
